Corrida,Fitness,Tiempo (s),Interacciones,BLOSUM
1,17.5,207.6598711013794,1800,13.0
2,17.5,209.91858887672424,1795,13.0
3,17.5,211.15159225463867,1799,13.0
4,17.619021562963063,205.50661754608154,1799,13.0
5,17.5,213.60411167144775,1796,13.0
6,17.5,231.9702184200287,1796,13.0
7,17.879704450427838,215.43049240112305,1796,13.0
8,17.5,217.10574316978455,1800,13.0
9,17.5,221.30621790885925,1798,13.0
10,17.5,219.85471558570862,1800,13.0
11,17.5,230.15308809280396,1797,13.0
12,17.5,268.74592089653015,1798,13.0
13,17.5,263.1610758304596,1799,13.0
14,17.5,224.27330350875854,1797,13.0
15,17.5,219.44252252578735,1798,13.0
16,17.5,222.346097946167,1798,13.0
17,22.515381328912806,226.27870559692383,1797,18.0
18,17.5,225.77179503440857,1798,13.0
19,17.5,225.07514572143555,1799,13.0
20,22.697130128513194,262.6257894039154,1797,18.0
21,17.5,279.4183430671692,1795,13.0
22,17.5,270.62150621414185,1798,13.0
23,17.5175860241321,226.66341829299927,1796,13.0
24,17.5,231.8211953639984,1799,13.0
25,17.5,224.88588404655457,1800,13.0
26,17.5,271.8641731739044,1797,13.0
27,17.5,226.5628445148468,1798,13.0
28,17.5,240.2017378807068,1797,13.0
29,22.5,244.88929557800293,1796,18.0
30,17.5,218.85142135620117,1794,13.0
